datetime,open,high,low,close,volume
01/01/2015,318.24,321.36,313.54,314.89,12820.26
01/02/2015,314.89,316.4,313.08,315.21,14728.97
01/03/2015,315.21,315.83,284.89,287.13,47366.46
01/04/2015,287.13,289.94,255.87,264.72,88769.22
01/05/2015,264.72,278.32,262.89,274.84,54993.28
01/06/2015,274.84,285.11,271.52,282.27,21939.38
01/07/2015,282.27,296.06,280.74,291.34,30666.87
01/08/2015,291.34,292.71,278.99,282.69,20182.8
01/09/2015,282.69,290.59,277.28,287.97,20924.65
01/10/2015,287.97,289.25,271.98,273.35,14724.72
01/11/2015,273.35,278.01,263.76,264.77,15111.35
01/12/2015,264.77,273.08,263.3,269.33,25384.85
01/13/2015,269.33,269.1,217.1,221.29,95497.81
01/14/2015,221.29,230.86,157.29,164.92,170682.75
01/15/2015,164.92,231.26,164.55,209.78,124666.16
01/16/2015,209.78,222.63,198.72,206.92,62321.12
01/17/2015,206.92,212.59,191.71,199.65,43131.44
01/18/2015,199.65,220.73,192.51,210.62,40367.48
01/19/2015,210.62,219.48,205.47,215.87,31578.61
01/20/2015,215.87,216.57,203.42,210.55,37484.43
01/21/2015,210.55,229.32,207.11,228.17,43184.11
01/22/2015,228.17,238.78,225.57,232.7,53706.05
01/23/2015,232.7,236.97,224.84,232.17,38166.88
01/24/2015,232.17,248.88,229.58,248.16,33239.37
01/25/2015,248.16,256.43,241.36,252.09,50188.59
01/26/2015,252.09,310.91,251.5,269.18,105714.48
01/27/2015,269.18,276.9,247.26,263.27,50260.04
01/28/2015,263.27,267.66,228.06,236.17,63771.42
01/29/2015,236.17,241.51,220.36,233.99,54485.72
01/30/2015,233.99,244.83,227.19,231.84,48226.84
01/31/2015,231.84,235.36,216.46,218.51,42154.24
02/01/2015,218.51,231.44,209.71,225.29,41163.75
02/02/2015,225.29,242.51,220.53,238.86,39015.62
02/03/2015,238.86,247.48,223.91,227.41,63078.64
02/04/2015,227.41,230.71,220.23,226.58,55242.53
02/05/2015,226.58,229.85,214.35,216.52,40642.68
02/06/2015,216.52,226.16,215.65,222.96,52515.37
02/07/2015,222.96,231.0,222.38,227.68,39761.33
02/08/2015,227.68,230.23,219.5,223.67,29048.5
02/09/2015,223.67,225.0,215.66,220.34,91686.86
02/10/2015,220.34,222.19,214.44,219.67,86145.83
02/11/2015,219.67,223.53,217.28,218.83,71734.25
02/12/2015,218.83,223.0,217.3,221.79,50109.53
02/13/2015,221.79,241.58,220.62,236.17,112253.36
02/14/2015,236.17,261.25,235.38,258.64,133796.04
02/15/2015,258.64,264.57,226.56,233.27,179142.98
02/16/2015,233.27,240.03,228.01,235.83,115467.55
02/17/2015,235.83,247.17,232.03,243.2,116259.51
02/18/2015,243.2,245.51,231.7,235.2,99662.48
02/19/2015,235.2,244.11,234.87,241.92,66053.23
02/20/2015,241.92,247.76,238.83,244.52,83584.59
02/21/2015,244.52,247.32,242.65,244.41,42952.95
02/22/2015,244.41,246.54,232.72,235.73,75700.07
02/23/2015,235.73,240.06,231.33,238.82,62672.06
02/24/2015,238.82,240.25,235.5,238.89,45034.29
02/25/2015,238.89,239.64,234.59,237.33,38095.34
02/26/2015,237.33,238.17,233.5,236.53,50871.35
02/27/2015,236.53,258.72,235.7,253.47,167808.96
