bar_index,date,open,high,low,close,upper_boundary,lower_boundary,go_long_signal,go_short_signal,pending_signal,action_executed,execution_price,reason,position_size,position_avg_price,equity,unrealized_pnl,total_equity
0,2015-01-01,320.070000,323.240000,308.770000,312.440000,,,False,False,,HOLD,,,0.000000,0.000000,100000.000000,0.000000,100000.000000
1,2015-01-02,310.060000,317.830000,300.460000,307.410000,,,False,False,,HOLD,,,0.000000,0.000000,100000.000000,0.000000,100000.000000
2,2015-01-03,311.730000,321.040000,272.770000,278.320000,,,False,False,,HOLD,,,0.000000,0.000000,100000.000000,0.000000,100000.000000
3,2015-01-04,278.520000,281.400000,266.000000,271.020000,,,False,False,,HOLD,,,0.000000,0.000000,100000.000000,0.000000,100000.000000
4,2015-01-05,267.140000,293.650000,255.710000,286.700000,,,False,False,,HOLD,,,0.000000,0.000000,100000.000000,0.000000,100000.000000
5,2015-01-06,282.330000,286.230000,256.800000,258.730000,,,False,False,,HOLD,,,0.000000,0.000000,100000.000000,0.000000,100000.000000
6,2015-01-07,257.320000,273.490000,249.590000,264.210000,,,False,False,,HOLD,,,0.000000,0.000000,100000.000000,0.000000,100000.000000
7,2015-01-08,260.330000,266.190000,236.500000,241.160000,,,False,False,,HOLD,,,0.000000,0.000000,100000.000000,0.000000,100000.000000
8,2015-01-09,243.120000,244.970000,240.090000,242.160000,,,False,False,,HOLD,,,0.000000,0.000000,100000.000000,0.000000,100000.000000
9,2015-01-10,238.960000,241.630000,225.790000,228.790000,,,False,False,,HOLD,,,0.000000,0.000000,100000.000000,0.000000,100000.000000
10,2015-01-11,225.770000,242.500000,222.830000,236.080000,,,False,False,,HOLD,,,0.000000,0.000000,100000.000000,0.000000,100000.000000
11,2015-01-12,234.410000,240.610000,208.230000,212.970000,,,False,False,,HOLD,,,0.000000,0.000000,100000.000000,0.000000,100000.000000
12,2015-01-13,215.200000,228.980000,210.580000,222.950000,,,False,False,,HOLD,,,0.000000,0.000000,100000.000000,0.000000,100000.000000
13,2015-01-14,226.070000,231.290000,191.170000,196.140000,,,False,False,,HOLD,,,0.000000,0.000000,100000.000000,0.000000,100000.000000
14,2015-01-15,198.620000,205.380000,190.100000,202.310000,,,False,False,,HOLD,,,0.000000,0.000000,100000.000000,0.000000,100000.000000
15,2015-01-16,200.120000,202.150000,191.010000,192.470000,,,False,False,,HOLD,,,0.000000,0.000000,100000.000000,0.000000,100000.000000
16,2015-01-17,192.180000,208.150000,189.420000,206.940000,,,False,False,,HOLD,,,0.000000,0.000000,100000.000000,0.000000,100000.000000
