trade_id,bar_index,date,action,execution_price,position_size,pnl,commission,net_pnl,equity_after,reason
1,34,2015-02-04,LONG,217.820000,454.503719,0.000000,99.000000,-99.000000,99901.000000,Long Entry
2,54,2015-02-24,CLOSE_LONG,218.250000,454.503719,195.436599,99.195437,96.241162,99997.241162,Reverse to Short
3,54,2015-02-24,SHORT,218.250000,453.595733,0.000000,98.997269,-98.997269,99898.243894,Short Entry
4,73,2015-03-15,CLOSE_SHORT,248.030000,453.595733,-13508.080932,112.505350,-13620.586282,86277.657612,Reverse to Long
5,73,2015-03-15,LONG,248.030000,344.373185,0.000000,85.414881,-85.414881,86192.242731,Long Entry
6,75,2015-03-17,CLOSE_LONG,222.040000,344.373185,-8950.259074,76.464622,-9026.723696,77165.519035,Reverse to Short
7,75,2015-03-17,SHORT,222.040000,344.054512,0.000000,76.393864,-76.393864,77089.125171,Short Entry
8,83,2015-03-25,CLOSE_SHORT,260.220000,344.054512,-13136.001268,89.529865,-13225.531133,63863.594038,Reverse to Long
9,83,2015-03-25,LONG,260.220000,242.967328,0.000000,63.224958,-63.224958,63800.369080,Long Entry
10,87,2015-03-29,CLOSE_LONG,235.220000,242.967328,-6074.183201,57.150775,-6131.333975,57669.035104,Reverse to Short
11,87,2015-03-29,SHORT,235.220000,242.718922,0.000000,57.092345,-57.092345,57611.942760,Short Entry
12,96,2015-04-07,CLOSE_SHORT,263.650000,242.718922,-6900.498943,63.992844,-6964.491787,50647.450973,Reverse to Long
13,96,2015-04-07,LONG,263.650000,190.180074,0.000000,50.140976,-50.140976,50597.309997,Long Entry
14,109,2015-04-20,CLOSE_LONG,259.350000,190.180074,-817.774317,49.323202,-867.097520,49730.212477,Reverse to Short
15,109,2015-04-20,SHORT,259.350000,189.831927,0.000000,49.232910,-49.232910,49680.979567,Short Entry
16,112,2015-04-23,CLOSE_SHORT,268.090000,189.831927,-1659.131045,50.892041,-1710.023086,47970.956480,Reverse to Long
17,112,2015-04-23,LONG,268.090000,177.146656,0.000000,47.491247,-47.491247,47923.465234,Long Entry
18,123,2015-05-04,CLOSE_LONG,258.090000,177.146656,-1771.466557,45.719780,-1817.186337,46106.278897,Reverse to Short
19,123,2015-05-04,SHORT,258.090000,176.857748,0.000000,45.645216,-45.645216,46060.633680,Short Entry
20,124,2015-05-05,CLOSE_SHORT,283.060000,176.857748,-4416.137960,50.061354,-4466.199314,41594.434366,Reverse to Long
21,124,2015-05-05,LONG,283.060000,145.476189,0.000000,41.178490,-41.178490,41553.255876,Long Entry
22,126,2015-05-07,CLOSE_LONG,260.100000,145.476189,-3340.133297,37.838357,-3377.971653,38175.284223,Reverse to Short
23,126,2015-05-07,SHORT,260.100000,145.303850,0.000000,37.793531,-37.793531,38137.490691,Short Entry
24,134,2015-05-15,CLOSE_SHORT,300.090000,145.303850,-5810.700961,43.604232,-5854.305193,32283.185498,Reverse to Long
25,134,2015-05-15,LONG,300.090000,106.502561,0.000000,31.960354,-31.960354,32251.225145,Long Entry
26,135,2015-05-16,CLOSE_LONG,270.930000,106.502561,-3105.614690,28.854739,-3134.469429,29116.755716,Reverse to Short
27,135,2015-05-16,SHORT,270.930000,106.394966,0.000000,28.825588,-28.825588,29087.930128,Short Entry
28,137,2015-05-18,CLOSE_SHORT,296.220000,106.394966,-2690.728692,31.516317,-2722.245009,26365.685119,Reverse to Long
29,137,2015-05-18,LONG,296.220000,88.117036,0.000000,26.102028,-26.102028,26339.583091,Long Entry
30,138,2015-05-19,CLOSE_LONG,273.800000,88.117036,-1975.583937,24.126444,-1999.710381,24339.872709,Reverse to Short
31,138,2015-05-19,SHORT,273.800000,88.007575,0.000000,24.096474,-24.096474,24315.776235,Short Entry
32,145,2015-05-26,CLOSE_SHORT,302.430000,88.007575,-2519.656867,26.616131,-2546.272998,21769.503238,Reverse to Long
33,145,2015-05-26,LONG,302.430000,71.262137,0.000000,21.551808,-21.551808,21747.951430,Long Entry
34,150,2015-05-31,CLOSE_LONG,269.600000,71.262137,-2339.535970,19.212272,-2358.748242,19389.203187,Reverse to Short
35,150,2015-05-31,SHORT,269.600000,71.199225,0.000000,19.195311,-19.195311,19370.007876,Short Entry
36,156,2015-06-06,CLOSE_SHORT,311.320000,71.199225,-2970.431682,22.165743,-2992.597425,16377.410452,Reverse to Long
37,156,2015-06-06,LONG,311.320000,52.080291,0.000000,16.213636,-16.213636,16361.196815,Long Entry
38,180,2015-06-30,CLOSE_LONG,284.360000,52.080291,-1404.084659,14.809552,-1418.894210,14942.302605,Reverse to Short
39,180,2015-06-30,SHORT,284.360000,52.021661,0.000000,14.792880,-14.792880,14927.509725,Short Entry
40,181,2015-07-01,CLOSE_SHORT,320.530000,52.021661,-1881.623486,16.674503,-1898.297989,13029.211737,Reverse to Long
41,181,2015-07-01,LONG,320.530000,40.242472,0.000000,12.898920,-12.898920,13016.312817,Long Entry
42,184,2015-07-04,CLOSE_LONG,291.700000,40.242472,-1160.190474,11.738729,-1171.929203,11844.383614,Reverse to Short
43,184,2015-07-04,SHORT,291.700000,40.198628,0.000000,11.725940,-11.725940,11832.657674,Short Entry
44,189,2015-07-09,CLOSE_SHORT,320.330000,40.198628,-1150.886719,12.876826,-1163.763545,10668.894129,Reverse to Long
45,189,2015-07-09,LONG,320.330000,32.972888,0.000000,10.562205,-10.562205,10658.331924,Long Entry
46,196,2015-07-16,CLOSE_LONG,298.450000,32.972888,-721.446788,9.840758,-731.287546,9927.044378,Reverse to Short
47,196,2015-07-16,SHORT,298.450000,32.929382,0.000000,9.827774,-9.827774,9917.216604,Short Entry
48,197,2015-07-17,CLOSE_SHORT,329.550000,32.929382,-1024.103767,10.851878,-1034.955645,8882.260959,Reverse to Long
49,197,2015-07-17,LONG,329.550000,26.683169,0.000000,8.793438,-8.793438,8873.467520,Long Entry
50,204,2015-07-24,CLOSE_LONG,305.270000,26.683169,-647.867344,8.145571,-656.012915,8217.454606,Reverse to Short
51,204,2015-07-24,SHORT,305.270000,26.649458,0.000000,8.135280,-8.135280,8209.319326,Short Entry
52,211,2015-07-31,CLOSE_SHORT,327.870000,26.649458,-602.277752,8.737558,-611.015310,7598.304016,Reverse to Long
53,211,2015-07-31,LONG,327.870000,22.942999,0.000000,7.522321,-7.522321,7590.781695,Long Entry
54,219,2015-08-08,CLOSE_LONG,327.570000,22.942999,-6.882900,7.515438,-14.398338,7576.383357,Reverse to Short
55,219,2015-08-08,SHORT,327.570000,22.897761,0.000000,7.500620,-7.500620,7568.882738,Short Entry
56,253,2015-09-11,CLOSE_SHORT,373.620000,22.897761,-1054.441887,8.555061,-1062.996949,6505.885789,Reverse to Long
57,253,2015-09-11,LONG,373.620000,17.238978,0.000000,6.440827,-6.440827,6499.444962,Long Entry
58,283,2015-10-11,CLOSE_LONG,362.610000,17.238978,-189.801147,6.251026,-196.052173,6303.392789,Reverse to Short
59,283,2015-10-11,SHORT,362.610000,17.209561,0.000000,6.240359,-6.240359,6297.152430,Short Entry
60,296,2015-10-24,CLOSE_SHORT,392.000000,17.209561,-505.788994,6.746148,-512.535141,5784.617289,Reverse to Long
61,296,2015-10-24,LONG,392.000000,14.609110,0.000000,5.726771,-5.726771,5778.890518,Long Entry
62,314,2015-11-11,CLOSE_LONG,373.850000,14.609110,-265.155346,5.461616,-270.616962,5508.273556,Reverse to Short
63,314,2015-11-11,SHORT,373.850000,14.586574,0.000000,5.453191,-5.453191,5502.820365,Short Entry
64,318,2015-11-15,CLOSE_SHORT,435.910000,14.586574,-905.242804,6.358434,-911.601238,4591.219127,Reverse to Long
65,318,2015-11-15,LONG,435.910000,10.427168,0.000000,4.545307,-4.545307,4586.673820,Long Entry
66,343,2015-12-10,CLOSE_LONG,393.400000,10.427168,-443.258925,4.102048,-447.360973,4139.312848,Reverse to Short
67,343,2015-12-10,SHORT,393.400000,10.416674,0.000000,4.097920,-4.097920,4135.214928,Short Entry
68,344,2015-12-11,CLOSE_SHORT,424.300000,10.416674,-321.875240,4.419795,-326.295035,3808.919893,Reverse to Long
69,344,2015-12-11,LONG,424.300000,8.887181,0.000000,3.770831,-3.770831,3805.149063,Long Entry
70,347,2015-12-14,CLOSE_LONG,389.430000,8.887181,-309.895985,3.460935,-313.356919,3491.792143,Reverse to Short
