date,action,price,size,commission,equity,comment,pnl,net_pnl
2020-04-29,ENTRY_LONG,8790.32,11.262388627490239,99.0,99901.0,Long,,
2020-06-02,CLOSE_Long,9525.73,11.262388627490239,107.28247322054258,108076.19074732205,Reverse to Short,8282.473220542595,8175.190747322053
2020-06-02,ENTRY_SHORT,9525.73,11.232255043954513,106.99542883984881,107969.1953184822,Short,,
2020-07-21,CLOSE_Short,9391.25,11.232255043954513,105.48491518153783,109374.22406161166,Reverse to Long,1510.513658310998,1405.02874312946
2020-07-21,ENTRY_LONG,9391.25,11.529932843976631,108.28048182099555,109265.94357979066,Long,,
2020-08-02,CLOSE_Long,11071.66,11.529932843976631,127.6554962713423,128513.3025338661,Reverse to Short,19375.01445034677,19247.35895407543
2020-08-02,ENTRY_SHORT,11071.66,11.491336394770743,127.22816950852744,128386.07436435757,Short,,
2020-08-10,CLOSE_SHORT,12021.35078960492,11.491336394770743,138.14138584289302,117334.7166441491,Stop Loss: SL Short,-10913.216334365577,-11051.35772020847
2020-09-02,ENTRY_SHORT,11398.44,10.190988370137282,116.16136947770761,117218.5552746714,Short,,
2020-10-10,CLOSE_Short,11301.2,10.190988370137282,115.17039776859546,118094.35658601494,Reverse to Long,990.9717091121471,875.8013113435517
2020-10-10,ENTRY_LONG,11301.2,10.34522112874339,116.9134130201548,117977.44317299478,Long,,
2020-11-26,CLOSE_Long,17160.09,10.34522112874339,177.52492563913816,178411.430866339,Reverse to Short,60611.51261898335,60433.987693344214
2020-11-26,ENTRY_SHORT,17160.09,10.29291318155532,176.62731655767564,178234.80354978133,Short,,
2020-11-30,CLOSE_SHORT,19244.782822412064,10.29291318155532,198.08487878897455,156579.15643969347,Stop Loss: SL Short,-21457.562231298896,-21655.64711008787
2020-12-16,ENTRY_LONG,21365.7,7.255243913155035,155.01336487529653,156424.14307481816,Long,,
2021-04-18,CLOSE_Long,56280.6,7.255243913155035,408.3294805787133,409331.92929765617,Reverse to Short,253316.1157034167,252907.78622283798
2021-04-18,ENTRY_SHORT,56280.6,7.200324978850254,405.2386100046796,408926.6906876515,Short,,
2021-07-21,CLOSE_Short,32138.45,7.200324978850254,231.40728431652997,582526.6090914847,Reverse to Long,173831.32568814966,173599.91840383314
2021-07-21,ENTRY_LONG,32138.45,17.94427992017567,576.7013430005699,581949.9077484842,Long,,
2021-09-07,CLOSE_Long,46866.82,17.94427992017567,840.9913370484875,845398.9104593534,Reverse to Short,264289.9940479177,263449.00271086924
2021-09-07,ENTRY_SHORT,46866.82,17.8579413187146,836.9449213547598,844561.9655379986,Short,,
2021-10-06,CLOSE_SHORT,52439.00733962912,17.8579413187146,936.4527158827411,744117.7182941346,Stop Loss: SL Short,-99507.79452798124,-100444.24724386398
2021-11-08,ENTRY_LONG,67559.0,10.904195460430042,736.6765411111933,743381.0417530234,Long,,
2021-11-16,CLOSE_LONG,61463.02660081483,10.904195460430042,670.204855644896,676239.1514310814,Stop Loss: SL Long,-66471.6854662972,-67141.8903219421
2021-12-04,ENTRY_SHORT,49234.97,13.597586429254866,669.4767599167706,675569.6746711646,Short,,
2022-02-28,CLOSE_Short,43178.98,13.597586429254866,587.1299124770674,757329.3921983907,Reverse to Long,82346.84743970315,81759.71752722608
2022-02-28,ENTRY_LONG,43178.98,17.363914068289866,749.7560982764068,756579.6361001143,Long,,
2022-03-06,CLOSE_LONG,38319.0740740595,17.363914068289866,665.3691093984032,671527.2781127123,Stop Loss: SL Long,-84386.9888780036,-85052.357987402
2022-05-05,ENTRY_SHORT,36533.93,18.197111707708018,664.8120053315852,670862.4661073807,Short,,
2022-07-18,CLOSE_Short,22435.04,18.197111707708018,408.2529290468977,927013.2894630213,Reverse to Long,256559.0762846875,256150.8233556406
2022-07-18,ENTRY_LONG,22435.04,40.90668688660199,917.7431565683911,926095.546306453,Long,,
2022-08-19,CLOSE_Long,20841.0,40.90668688660199,852.536261403672,860036.1148803302,Reverse to Short,-65206.89516471907,-66059.43142612274
2022-08-19,ENTRY_SHORT,20841.0,40.85388195055549,851.435753731527,859184.6791265986,Short,,
2022-10-25,CLOSE_Short,20087.0,40.85388195055549,820.6319267408082,889167.8741905767,Reverse to Long,30803.82699071884,29983.195063978033
2022-10-25,ENTRY_LONG,20087.0,43.823178944027035,880.276195448671,888287.597995128,Long,,
2022-11-08,CLOSE_LONG,18449.54119582168,43.823178944027035,808.517545259692,815720.4302608892,Stop Loss: SL Long,-71758.65018897908,-72567.16773423877
2022-11-09,ENTRY_SHORT,15877.0,50.863716442544586,807.5632259582804,814912.867034931,Short,,
2022-11-10,CLOSE_SHORT,18024.155805643553,50.863716442544586,916.7755500144975,704783.7674286994,Stop Loss: SL Short,-109212.32405621707,-110129.09960623157
2022-12-13,ENTRY_LONG,17772.0,39.26040568053187,697.7359297544124,704086.031498945,Long,,
2022-12-16,CLOSE_LONG,16685.154846386784,39.26040568053187,655.0659481116375,660760.9839080585,Stop Loss: SL Long,-42669.98164277484,-43325.047590886476
2023-01-11,ENTRY_LONG,17930.0,36.48373530780691,654.1533740689779,660106.8305339895,Long,,
2023-03-09,CLOSE_Long,20367.0,36.48373530780691,743.0642370141034,748274.6292421008,Reverse to Short,88910.86294512544,88167.79870811134
2023-03-09,ENTRY_SHORT,20367.0,36.37216492118033,740.7918829496798,747533.8373591511,Short,,
