bar_index,date,open,high,low,close,upper_boundary,lower_boundary,go_long_signal,go_short_signal,pending_signal,action_executed,execution_price,reason,position_size,position_avg_price,equity,unrealized_pnl,total_equity
0,2015-01-01,320.434998,320.434998,314.002991,314.248993,,,False,False,,HOLD,,,0.000000,0.000000,100000.000000,0.000000,100000.000000
1,2015-01-02,314.079010,315.838989,313.565002,315.032013,,,False,False,,HOLD,,,0.000000,0.000000,100000.000000,0.000000,100000.000000
2,2015-01-03,314.846008,315.149994,281.082001,281.082001,,,False,False,,HOLD,,,0.000000,0.000000,100000.000000,0.000000,100000.000000
3,2015-01-04,281.145996,287.230011,257.612000,264.195007,,,False,False,,HOLD,,,0.000000,0.000000,100000.000000,0.000000,100000.000000
4,2015-01-05,265.084015,278.341003,265.084015,274.473999,,,False,False,,HOLD,,,0.000000,0.000000,100000.000000,0.000000,100000.000000
5,2015-01-06,274.610992,287.553009,272.696014,286.188995,,,False,False,,HOLD,,,0.000000,0.000000,100000.000000,0.000000,100000.000000
6,2015-01-07,286.076996,298.753998,283.079010,294.337006,,,False,False,,HOLD,,,0.000000,0.000000,100000.000000,0.000000,100000.000000
7,2015-01-08,294.135010,294.135010,282.174988,283.348999,,,False,False,,HOLD,,,0.000000,0.000000,100000.000000,0.000000,100000.000000
8,2015-01-09,282.382996,291.114014,280.532990,290.407990,,,False,False,,HOLD,,,0.000000,0.000000,100000.000000,0.000000,100000.000000
9,2015-01-10,287.303009,288.127014,273.966003,274.795990,,,False,False,,HOLD,,,0.000000,0.000000,100000.000000,0.000000,100000.000000
10,2015-01-11,274.608002,279.638000,265.039001,265.660004,,,False,False,,HOLD,,,0.000000,0.000000,100000.000000,0.000000,100000.000000
11,2015-01-12,266.145996,272.203003,265.200012,267.795990,,,False,False,,HOLD,,,0.000000,0.000000,100000.000000,0.000000,100000.000000
12,2015-01-13,267.394012,268.277008,219.906006,225.860992,,,False,False,,HOLD,,,0.000000,0.000000,100000.000000,0.000000,100000.000000
13,2015-01-14,223.893997,223.893997,171.509995,178.102997,,,False,False,,HOLD,,,0.000000,0.000000,100000.000000,0.000000,100000.000000
