date,action,price,size,commission,equity,comment,pnl,net_pnl
2017-09-14,ENTRY_SHORT,3154.949951171875,31.37926164667919,99.0,99901.0,Short,,
2017-09-18,CLOSE_SHORT,4016.4153296213326,31.37926164667919,126.03214750992105,72742.82034256903,Stop Loss: SL Short,-27032.14750992104,-27158.179657430963
2017-12-06,ENTRY_LONG,14291.5,5.039036639900874,72.01539213914334,72670.80495042988,Long,,
2018-01-16,CLOSE_LONG,10244.132180075096,5.039036639900874,51.62055739938602,52224.34965327318,Stop Loss: SL Long,-20394.834739757316,-20446.455297156703
2018-05-11,ENTRY_SHORT,8441.490234375,6.1247605246526025,51.70210615674045,52172.64754711644,Short,,
2018-07-17,CLOSE_Short,7321.0400390625,6.1247605246526025,44.83961703065115,58990.297056175084,Reverse to Long,6862.489126089298,6817.649509058647
2018-07-17,ENTRY_LONG,7321.0400390625,7.977062517621722,58.400394085613335,58931.89666208947,Long,,
2018-08-08,CLOSE_LONG,6530.055494734632,7.977062517621722,52.090660925037405,52570.0728405885,Stop Loss: SL Long,-6309.733160575935,-6361.823821500972
2018-09-05,ENTRY_SHORT,6792.830078125,7.661662593295464,52.044372112182614,52518.02846847632,Short,,
2018-10-15,CLOSE_Short,6596.5400390625,7.661662593295464,50.540464062460956,53971.39605413552,Reverse to Long,1503.9080497216617,1453.3675856592008
2018-10-15,ENTRY_LONG,6596.5400390625,8.099955700592984,53.43168209359417,53917.964372041926,Long,,
2018-10-29,CLOSE_LONG,6315.782229064883,8.099955700592984,51.157556270017956,51592.68099219571,Stop Loss: SL Long,-2274.125823576201,-2325.2833798462193
2018-11-14,ENTRY_SHORT,5738.35009765625,8.900947713722687,51.07675418227375,51541.60423801344,Short,,
2019-02-08,CLOSE_Short,3666.7802734375,8.900947713722687,32.63781949157696,69947.90110921866,Reverse to Long,18438.93469069679,18406.296871205213
2019-02-08,ENTRY_LONG,3666.7802734375,18.885348162192464,69.24842209812647,69878.65268712053,Long,,
2019-09-24,CLOSE_Long,8620.56640625,18.885348162192464,162.80239793733153,163269.82612838826,Reverse to Short,93553.97583920506,93391.17344126773
2019-09-24,ENTRY_SHORT,8620.56640625,18.7501749014909,161.63712786710437,163108.18900052115,Short,,
2019-10-25,CLOSE_Short,8660.7001953125,18.7501749014909,162.38964343148578,162193.28379270824,Reverse to Long,-752.5155643814176,-914.9052078129033
2019-10-25,ENTRY_LONG,8660.7001953125,18.54022738735241,160.57135095478117,162032.71244175345,Long,,
2019-11-21,CLOSE_LONG,7942.452771879483,18.54022738735241,147.25488040395305,148568.98701052138,Stop Loss: SL Long,-13316.470550828117,-13463.72543123207
2019-12-18,ENTRY_LONG,7276.802734375,20.212626686388944,147.08329714041616,148421.90371338095,Long,,
2020-02-26,CLOSE_Long,8820.5224609375,20.212626686388944,178.2859276818384,179446.24832712134,Reverse to Short,31202.63054142223,31024.34461374039
2020-02-26,ENTRY_SHORT,8820.5224609375,20.140732777519414,177.65178584385012,179268.59654127748,Short,,
2020-04-29,CLOSE_Short,8801.0380859375,20.140732777519414,177.25935625363815,179483.76677523582,Reverse to Long,392.4295902119798,215.17023395834167
2020-04-29,ENTRY_LONG,8801.0380859375,20.189542116787212,177.6889291074835,179306.07784612835,Long,,
2020-09-02,CLOSE_Long,11414.0341796875,20.189542116787212,230.4441237932496,231830.8284081012,Reverse to Short,52755.194685766095,52524.75056197285
2020-09-02,ENTRY_SHORT,11414.0341796875,20.107922975424618,229.51252012402017,231601.31588797717,Short,,
2020-10-21,CLOSE_SHORT,12269.528280354814,20.107922975424618,246.71472960616867,214152.3916762225,Stop Loss: SL Short,-17202.20948214851,-17448.924211754682
2020-11-05,ENTRY_LONG,15579.8486328125,13.608018457441695,212.01086775946027,213940.38080846303,Long,,
2021-04-18,CLOSE_Long,56216.18359375,13.608018457441695,764.9908639506809,766155.386135733,Reverse to Short,552979.9961912207,552215.00532727
2021-04-18,ENTRY_SHORT,56216.18359375,13.492446192286582,758.4938322743756,765396.8923034586,Short,,
2021-07-26,CLOSE_Short,37337.53515625,13.492446192286582,503.7746840483117,1019612.2658454742,Reverse to Long,254719.1482260639,254215.3735420156
2021-07-26,ENTRY_LONG,37337.53515625,27.03488966164526,1009.4161431870195,1018602.8497022872,Long,,
2021-09-07,CLOSE_Long,46811.12890625,27.03488966164526,1265.5337049175216,1273454.8777278718,Reverse to Short,256117.56173050214,254852.02802558462
2021-09-07,ENTRY_SHORT,46811.12890625,26.93206419942305,1260.720328950593,1272194.1573989212,Short,,
2021-10-01,CLOSE_Short,48116.94140625,26.93206419942305,1295.8885550330024,1235730.042761479,Reverse to Long,-35168.22608240911,-36464.114637442115
2021-10-01,ENTRY_LONG,48116.94140625,25.424989755790214,1223.3727423338644,1234506.6700191451,Long,,
2021-12-04,CLOSE_Long,49200.703125,25.424989755790214,1250.9273729308006,1260810.3732431508,Reverse to Short,27554.630596936346,26303.703224005545
2021-12-04,ENTRY_SHORT,49200.703125,25.369602266445643,1248.2022695107194,1259562.17097364,Short,,
2022-02-28,CLOSE_Short,43193.234375,25.369602266445643,1095.795176695118,1410873.468612546,Reverse to Long,152407.09281560138,151311.29763890625
2022-02-28,ENTRY_LONG,43193.234375,32.33758143231015,1396.7647339264206,1409476.7038786197,Long,,
2022-03-07,CLOSE_LONG,37829.72355629927,32.33758143231015,1223.3217660636094,1234810.4142497447,Stop Loss: SL Long,-173442.9678628113,-174666.2896288749
2022-05-05,ENTRY_SHORT,36575.140625,33.4233112769405,1222.4623101072473,1233587.9519396375,Short,,
2022-07-18,CLOSE_Short,22485.689453125,33.4233112769405,751.546197868415,1703752.5179806014,Reverse to Long,470916.1122388323,470164.56604096387
2022-07-18,ENTRY_LONG,22485.689453125,75.01282076838343,1686.7149928007952,1702065.8029878007,Long,,
2022-08-19,CLOSE_Long,20877.552734375,75.01282076838343,1566.0841213461454,1579868.8474118046,Reverse to Short,-120630.87145464998,-122196.95557599612
2022-08-19,ENTRY_SHORT,20877.552734375,74.9163553236983,1564.0701589376865,1578304.777252867,Short,,
2022-09-09,CLOSE_Short,21381.15234375,74.9163553236983,1601.7980062144998,1538975.1319698393,Reverse to Long,-37727.84727681316,-39329.64528302766
2022-09-09,ENTRY_LONG,21381.15234375,71.25833800513122,1523.5853806501411,1537451.5465891892,Long,,
2022-09-13,CLOSE_Long,20296.70703125,71.25833800513122,1446.309610023936,1458729.46635296,Reverse to Short,-77275.77062620515,-78722.08023622909
2022-09-13,ENTRY_SHORT,20296.70703125,71.15155032123903,1444.1421716894306,1457285.3241812706,Short,,
2022-12-13,CLOSE_Short,17781.318359375,71.15155032123903,1265.1683680250417,1634993.9594776342,Reverse to Long,178973.80366438866,177708.63529636362
2022-12-13,ENTRY_LONG,17781.318359375,91.03059667279653,1618.644019882858,1633375.3154577513,Long,,
2022-12-16,CLOSE_LONG,16600.764026504676,91.03059667279653,1511.177454557017,1524397.5726773534,Stop Loss: SL Long,-107466.56532584087,-108977.7427803979
2023-01-12,ENTRY_LONG,18869.587890625,79.97808991368457,1509.1535969505799,1522888.4190804027,Long,,
2023-06-05,CLOSE_Long,25760.09765625,79.97808991368457,2060.2434065368575,2071917.9852601436,Reverse to Short,551089.8095862778,549029.5661797409
2023-06-05,ENTRY_SHORT,25760.09765625,79.62698095245278,2051.1988054075423,2069866.786454736,Short,,
2023-06-06,CLOSE_Short,27238.783203125,79.62698095245278,2168.9420712832252,1949954.5785077699,Reverse to Long,-117743.26587568285,-119912.20794696607
2023-06-06,ENTRY_LONG,27238.783203125,70.87155906807241,1930.4550327226923,1948024.123475047,Long,,
2023-06-14,CLOSE_LONG,25210.473351053464,70.87155906807241,1786.705551233251,1802487.9364343728,Stop Loss: SL Long,-143749.48148944107,-145536.18704067433
2023-06-20,ENTRY_LONG,28327.48828125,62.99404448968274,1784.463057070029,1800703.4733773028,Long,,
2023-07-14,CLOSE_Long,30334.068359375,62.99404448968274,1910.8656517835466,1925195.2024390365,Reverse to Short,126402.59471351732,124491.72906173377
2023-07-14,ENTRY_SHORT,30334.068359375,62.83177145361704,1905.943250414646,1923289.2591886218,Short,,
2023-08-08,CLOSE_Short,29765.4921875,62.83177145361704,1870.2186023294234,1957143.6886715149,Reverse to Long,35724.64808522248,33854.42948289306
2023-08-08,ENTRY_LONG,29765.4921875,65.09458132187318,1937.5722517847996,1955206.11641973,Long,,
2023-08-17,CLOSE_LONG,28034.96986863151,65.09458132187318,1824.924625969898,1840733.5659788586,Stop Loss: SL Long,-112647.62581490149,-114472.55044087139
2023-10-16,ENTRY_LONG,28519.466796875,63.89762625291262,1822.32623031907,1838911.2397485396,Long,,
2023-11-16,CLOSE_Long,36154.76953125,63.89762625291262,2310.2039507680056,2324478.7562467074,Reverse to Short,487877.7204489355,485567.51649816753
2023-11-16,ENTRY_SHORT,36154.76953125,63.64952670200795,2301.23396868424,2322177.522278023,Short,,
2023-11-22,CLOSE_Short,37432.33984375,63.64952670200795,2382.550714403402,2238478.225844458,Reverse to Long,-81316.7457191614,-83699.2964335648
2023-11-22,ENTRY_LONG,37432.33984375,59.20264276388884,2216.093443586014,2236262.132400872,Long,,
2024-01-03,CLOSE_Long,42848.17578125,59.20264276388884,2536.725243861657,2554357.207432654,Reverse to Short,320631.80027564353,318095.07503178186
2024-01-03,ENTRY_SHORT,42848.17578125,59.01799993233119,2528.8136353583277,2551828.393797296,Short,,
2024-01-08,CLOSE_SHORT,47158.33021372299,59.01799993233119,2783.190329362356,2294668.509463906,Stop Loss: SL Short,-254376.694004028,-257159.88433339034
2024-01-12,ENTRY_SHORT,42853.16796875,53.011759271237175,2271.721824369267,2292396.7876395364,Short,,
2024-02-09,CLOSE_SHORT,46411.60341665427,53.011759271237175,2460.360747715805,2101297.5035452824,Stop Loss: SL Short,-188638.923346538,-191099.28409425382
2024-02-28,ENTRY_LONG,62504.7890625,33.282002222736956,2080.2845285098297,2099217.2190167727,Long,,
2024-04-13,CLOSE_Long,63821.47265625,33.282002222736956,2124.1063948036585,2140914.978915798,Reverse to Short,43821.86629382878,41697.75989902512
2024-04-13,ENTRY_SHORT,63821.47265625,33.20991730389158,2119.5058291266405,2138795.4730866714,Short,,
2024-05-15,CLOSE_Short,66267.4921875,33.20991730389158,2200.7379354831564,2055362.6287946722,Reverse to Long,-81232.10635651615,-83432.8442919993
2024-05-15,ENTRY_LONG,66267.4921875,30.70599075560838,2034.8090025067256,2053327.8197921654,Long,,
2024-06-11,CLOSE_Long,67332.03125,30.70599075560838,2067.4967291188345,2083948.0496751557,Reverse to Short,32687.72661210901,30620.229882990177
2024-06-11,ENTRY_SHORT,67332.03125,30.64081880313694,2063.108569178404,2081884.9411059772,Short,,
2024-10-29,CLOSE_SHORT,72597.65712739393,30.64081880313694,2224.4516575727407,1918317.401054068,Stop Loss: SL Short,-161343.0883943365,-163567.54005190922
2024-11-06,ENTRY_LONG,75639.078125,25.107844703038907,1899.1342270435275,1916418.2668270245,Long,,
2024-12-05,CLOSE_Long,96593.5703125,25.107844703038907,2425.2563627183195,2440115.1461390983,Reverse to Short,526122.135674792,523696.8793120737
2024-12-05,ENTRY_SHORT,96593.5703125,25.009055849808405,2415.7139946777074,2437699.4321444207,Short,,
2024-12-16,CLOSE_SHORT,106363.08109865393,25.009055849808405,2660.0402355539372,2190713.1510326373,Stop Loss: SL Short,-244326.24087622922,-246986.28111178314
2025-02-24,ENTRY_SHORT,91418.171875,23.724014329315324,2168.806019522311,2188544.345013115,Short,,
2025-04-09,CLOSE_Short,82573.953125,23.724014329315324,1958.985647165712,2396405.7317225486,Reverse to Long,209820.37235659925,207861.38670943354
2025-04-09,ENTRY_LONG,82573.953125,28.731114166399827,2372.441674405323,2394033.2900481434,Long,,
2025-08-14,CLOSE_Long,118359.578125,28.731114166399827,3400.602551796295,3418793.5648873188,Reverse to Short,1028160.8773909718,1024760.2748391755
2025-08-14,ENTRY_SHORT,118359.578125,28.59595888102905,3384.6056292384455,3415408.9592580805,Short,,
2025-08-19,CLOSE_Final,112831.1796875,28.59595888102905,3226.51577484175,3570272.297879934,End of Date Range,158089.85439669524,154863.3386218535
