trade_id,bar_index,date,action,execution_price,position_size,pnl,commission,net_pnl,equity_after,reason
1,77,2015-03-19,SHORT,255.880005,386.900102,0.000000,99.000000,-99.000000,99901.000000,Short Entry
2,167,2015-06-17,CLOSE_SHORT,250.822998,386.900102,1956.556461,97.043444,1859.513017,101760.513017,Reverse to Long
3,167,2015-06-17,LONG,250.822998,401.649405,0.000000,100.742908,-100.742908,101659.770109,Long Entry
4,220,2015-08-09,CLOSE_LONG,261.115997,401.649405,4134.177030,104.877085,4029.299945,105689.070054,Reverse to Short
5,220,2015-08-09,SHORT,261.115997,400.711486,0.000000,104.632179,-104.632179,105584.437875,Short Entry
6,258,2015-09-16,CLOSE_SHORT,230.250000,400.711486,12368.359657,92.263820,12276.095837,117860.533712,Reverse to Long
7,258,2015-09-16,LONG,230.250000,506.761904,0.000000,116.681928,-116.681928,117743.851784,Long Entry
8,360,2015-12-27,CLOSE_LONG,416.514008,506.761904,94391.503105,211.073431,94180.429674,211924.281457,Reverse to Short
9,360,2015-12-27,SHORT,416.514008,503.716645,0.000000,209.805039,-209.805039,211714.476419,Short Entry
10,371,2016-01-07,CLOSE_SHORT,452.447895,503.716645,-18100.497116,227.905536,-18328.402651,193386.073767,SL Short
11,380,2016-01-16,SHORT,365.072998,524.421730,0.000000,191.452213,-191.452213,193194.621554,Short Entry
12,384,2016-01-20,CLOSE_SHORT,411.203385,524.421730,-24191.777415,215.643990,-24407.421405,168787.200149,SL Short
13,452,2016-03-28,LONG,426.548004,391.748001,0.000000,167.099328,-167.099328,168620.100821,Long Entry
14,454,2016-03-30,CLOSE_LONG,416.834015,391.748001,-3805.435878,163.293892,-3968.729770,164651.371051,Reverse to Short
15,454,2016-03-30,SHORT,416.834015,391.054596,0.000000,163.004857,-163.004857,164488.366193,Short Entry
16,470,2016-04-15,CLOSE_SHORT,428.150982,391.054596,-4425.551955,167.430409,-4592.982364,159895.383830,SL Short
17,505,2016-05-20,SHORT,437.792999,361.578258,0.000000,158.296430,-158.296430,159737.087400,Short Entry
18,511,2016-05-26,CLOSE_SHORT,451.968492,361.578258,-5125.549983,163.421980,-5288.971963,154448.115437,SL Short
19,513,2016-05-28,LONG,473.028992,323.243685,0.000000,152.903634,-152.903634,154295.211803,Long Entry
20,578,2016-08-01,CLOSE_LONG,624.601990,323.243685,48995.014401,201.898649,48793.115752,203088.327555,Reverse to Short
21,578,2016-08-01,SHORT,624.601990,321.896900,0.000000,201.057444,-201.057444,202887.270111,Short Entry
22,612,2016-09-04,CLOSE_SHORT,598.590027,321.896900,8373.170219,192.684274,8180.485945,211067.756056,Reverse to Long
23,612,2016-09-04,LONG,598.590027,349.082125,0.000000,208.957078,-208.957078,210858.798978,Long Entry
24,673,2016-11-04,CLOSE_LONG,689.124023,349.082125,31603.799899,240.560878,31363.239021,242222.037998,Reverse to Short
25,673,2016-11-04,SHORT,689.124023,347.977736,0.000000,239.799818,-239.799818,241982.238181,Short Entry
26,678,2016-11-09,CLOSE_SHORT,731.460773,347.977736,-14732.246382,254.532064,-14986.778446,226995.459735,SL Short
27,686,2016-11-17,LONG,744.875977,301.695198,0.000000,224.725505,-224.725505,226770.734230,Long Entry
28,736,2017-01-06,CLOSE_LONG,1014.239990,301.695198,81265.829404,305.991335,80959.838069,307730.572299,Reverse to Short
29,736,2017-01-06,SHORT,1014.239990,300.375916,0.000000,304.653267,-304.653267,307425.919033,Short Entry
30,782,2017-02-21,CLOSE_SHORT,1090.424844,300.375916,-22884.095210,327.537362,-23211.632572,284214.286461,SL Short
31,808,2017-03-19,SHORT,976.729980,288.075670,0.000000,281.372144,-281.372144,283932.914317,Short Entry
32,823,2017-04-03,CLOSE_SHORT,1113.414697,288.075670,-39375.541185,320.747685,-39696.288870,244236.625447,SL Short
33,919,2017-07-08,LONG,2520.270020,95.939823,0.000000,241.794259,-241.794259,243994.831188,Long Entry
34,926,2017-07-15,CLOSE_LONG,2136.060953,95.939823,-36860.949810,204.933309,-37065.883120,206928.948068,SL Long
35,932,2017-07-21,LONG,2838.409912,72.174092,0.000000,204.859659,-204.859659,206724.088410,Long Entry
36,988,2017-09-15,CLOSE_LONG,3166.300049,72.174092,23665.172946,228.524832,23436.648115,230160.736525,Reverse to Short
37,988,2017-09-15,SHORT,3166.300049,71.963846,0.000000,227.859129,-227.859129,229932.877395,Short Entry
38,991,2017-09-18,CLOSE_SHORT,4030.797194,71.963846,-62212.539402,290.071669,-62502.611071,167430.266325,SL Short
39,1071,2017-12-07,LONG,14266.099609,11.618870,0.000000,165.755964,-165.755964,167264.510361,Long Entry
40,1111,2018-01-16,CLOSE_LONG,10218.731373,11.618870,-47025.847336,118.730116,-47144.577452,120119.932909,SL Long
41,1112,2018-01-17,SHORT,11431.099609,10.403088,0.000000,118.918734,-118.918734,120001.014175,Short Entry
42,1294,2018-07-18,CLOSE_SHORT,7315.319824,10.403088,42816.818720,76.101915,42740.716805,162741.730980,Reverse to Long
43,1294,2018-07-18,LONG,7315.319824,22.024234,0.000000,161.114314,-161.114314,162580.616667,Long Entry
44,1315,2018-08-08,CLOSE_LONG,6524.335280,22.024234,-17420.828487,143.693485,-17564.521972,145016.094695,SL Long
45,1344,2018-09-06,SHORT,6755.140137,21.252843,0.000000,143.565934,-143.565934,144872.528761,Short Entry
46,1384,2018-10-16,CLOSE_SHORT,6601.410156,21.252843,3267.199162,140.298735,3126.900427,147999.429188,Reverse to Long
47,1384,2018-10-16,LONG,6601.410156,22.195172,0.000000,146.519435,-146.519435,147852.909753,Long Entry
48,1397,2018-10-29,CLOSE_LONG,6320.652346,22.195172,-6231.467927,140.287967,-6371.755894,141481.153859,SL Long
49,1414,2018-11-15,SHORT,5736.149902,24.418180,0.000000,140.066342,-140.066342,141341.087516,Short Entry
50,1500,2019-02-09,CLOSE_SHORT,3671.585938,24.418180,50412.895054,89.653447,50323.241607,191664.329123,Reverse to Long
51,1500,2019-02-09,LONG,3671.585938,51.680034,0.000000,189.747686,-189.747686,191474.581438,Long Entry
52,1728,2019-09-25,CLOSE_LONG,8603.428711,51.680034,254877.801876,444.625488,254433.176388,445907.757826,Reverse to Short
53,1728,2019-09-25,SHORT,8603.428711,51.310785,0.000000,441.448680,-441.448680,445466.309145,Short Entry
54,1759,2019-10-26,CLOSE_SHORT,8667.577148,51.310785,-3291.506680,444.740187,-3736.246867,441730.062278,Reverse to Long
55,1759,2019-10-26,LONG,8667.577148,50.453864,0.000000,437.312762,-437.312762,441292.749517,Long Entry
56,1785,2019-11-21,CLOSE_LONG,7949.329725,50.453864,-36238.358069,401.074404,-36639.432472,404653.317044,SL Long
57,1813,2019-12-19,LONG,7277.590820,55.046621,0.000000,400.606784,-400.606784,404252.710260,Long Entry
58,1883,2020-02-27,CLOSE_LONG,8825.093750,55.046621,85184.807308,485.791591,84699.015717,488951.725978,Reverse to Short
59,1883,2020-02-27,SHORT,8825.093750,54.850659,0.000000,484.062209,-484.062209,488467.663769,Short Entry
60,1946,2020-04-30,CLOSE_SHORT,8797.669922,54.850659,1504.215047,482.557994,1021.657054,489489.320823,Reverse to Long
61,1946,2020-04-30,LONG,8797.669922,55.082133,0.000000,484.594428,-484.594428,489004.726395,Long Entry
62,2072,2020-09-03,CLOSE_LONG,11407.191406,55.082133,143738.010325,628.332438,143109.677887,632114.404282,Reverse to Short
63,2072,2020-09-03,SHORT,11407.191406,54.859539,0.000000,625.793260,-625.793260,631488.611022,Short Entry
64,2120,2020-10-21,CLOSE_SHORT,12262.685507,54.859539,-46932.011860,672.725272,-47604.737133,583883.873890,SL Short
65,2121,2020-10-22,LONG,12801.635742,45.153998,0.000000,578.045035,-578.045035,583305.828854,Long Entry
66,2300,2021-04-19,CLOSE_LONG,56191.585938,45.153998,1959229.725868,2537.274761,1956692.451107,2539998.279962,Reverse to Short
67,2300,2021-04-19,SHORT,56191.585938,44.750442,0.000000,2514.598297,-2514.598297,2537483.681665,Short Entry
68,2399,2021-07-27,CLOSE_SHORT,37276.035156,44.750442,846479.254693,1668.119042,844811.135651,3382294.817316,Reverse to Long
69,2399,2021-07-27,LONG,37276.035156,89.829078,0.000000,3348.471869,-3348.471869,3378946.345446,Long Entry
70,2442,2021-09-08,CLOSE_LONG,46827.761719,89.829078,858022.790305,4206.494659,853816.295646,4232762.641092,Reverse to Short
71,2442,2021-09-08,SHORT,46827.761719,89.486127,0.000000,4190.435015,-4190.435015,4228572.206077,Short Entry
