bar_index,date,open,high,low,close,upper_boundary,lower_boundary,go_long_signal,go_short_signal,pending_signal,action_executed,execution_price,reason,position_size,position_avg_price,equity,unrealized_pnl,total_equity
0,2020-01-01,7195.240000,7255.000000,7175.150000,7200.850000,,,False,False,,HOLD,,,0.000000,0.000000,100000.000000,0.000000,100000.000000
1,2020-01-02,7200.770000,7212.500000,6924.740000,6965.710000,,,False,False,,HOLD,,,0.000000,0.000000,100000.000000,0.000000,100000.000000
2,2020-01-03,6965.490000,7405.000000,6871.040000,7344.960000,,,False,False,,HOLD,,,0.000000,0.000000,100000.000000,0.000000,100000.000000
3,2020-01-04,7345.000000,7404.000000,7272.210000,7354.110000,,,False,False,,HOLD,,,0.000000,0.000000,100000.000000,0.000000,100000.000000
4,2020-01-05,7354.190000,7495.000000,7318.000000,7358.750000,,,False,False,,HOLD,,,0.000000,0.000000,100000.000000,0.000000,100000.000000
5,2020-01-06,7357.640000,7795.340000,7346.760000,7758.000000,,,False,False,,HOLD,,,0.000000,0.000000,100000.000000,0.000000,100000.000000
6,2020-01-07,7758.900000,8207.680000,7723.710000,8145.280000,,,False,False,,HOLD,,,0.000000,0.000000,100000.000000,0.000000,100000.000000
7,2020-01-08,8145.920000,8455.000000,7870.000000,8055.980000,,,False,False,,HOLD,,,0.000000,0.000000,100000.000000,0.000000,100000.000000
8,2020-01-09,8054.720000,8055.960000,7750.000000,7817.760000,,,False,False,,HOLD,,,0.000000,0.000000,100000.000000,0.000000,100000.000000
9,2020-01-10,7817.740000,8199.000000,7672.000000,8197.020000,,,False,False,,HOLD,,,0.000000,0.000000,100000.000000,0.000000,100000.000000
10,2020-01-11,8198.860000,8286.340000,8003.160000,8020.010000,,,False,False,,HOLD,,,0.000000,0.000000,100000.000000,0.000000,100000.000000
11,2020-01-12,8020.010000,8197.000000,7960.000000,8184.980000,,,False,False,,HOLD,,,0.000000,0.000000,100000.000000,0.000000,100000.000000
12,2020-01-13,8184.970000,8196.000000,8055.890000,8110.340000,,,False,False,,HOLD,,,0.000000,0.000000,100000.000000,0.000000,100000.000000
13,2020-01-14,8110.340000,8880.000000,8105.540000,8810.010000,,,False,False,,HOLD,,,0.000000,0.000000,100000.000000,0.000000,100000.000000
14,2020-01-15,8814.640000,8916.480000,8564.000000,8821.410000,,,False,False,,HOLD,,,0.000000,0.000000,100000.000000,0.000000,100000.000000
15,2020-01-16,8820.010000,8859.810000,8586.000000,8720.010000,,,False,False,,HOLD,,,0.000000,0.000000,100000.000000,0.000000,100000.000000
16,2020-01-17,8720.150000,9041.650000,8672.440000,8913.280000,,,False,False,,HOLD,,,0.000000,0.000000,100000.000000,0.000000,100000.000000
17,2020-01-18,8913.270000,8988.880000,8806.380000,8915.960000,,,False,False,,HOLD,,,0.000000,0.000000,100000.000000,0.000000,100000.000000
18,2020-01-19,8915.090000,9198.980000,8466.000000,8701.700000,,,False,False,,HOLD,,,0.000000,0.000000,100000.000000,0.000000,100000.000000
19,2020-01-20,8701.720000,8746.990000,8521.280000,8642.350000,,,False,False,,HOLD,,,0.000000,0.000000,100000.000000,0.000000,100000.000000
20,2020-01-21,8642.350000,8789.000000,8488.000000,8736.030000,9806.320000,7478.380000,False,False,,HOLD,,,0.000000,0.000000,100000.000000,0.000000,100000.000000
21,2020-01-22,8736.040000,8818.000000,8590.000000,8682.360000,9900.010000,7572.070000,False,False,,HOLD,,,0.000000,0.000000,100000.000000,0.000000,100000.000000
22,2020-01-23,8682.770000,8691.810000,8306.390000,8404.520000,9846.740000,7518.800000,False,False,,HOLD,,,0.000000,0.000000,100000.000000,0.000000,100000.000000
23,2020-01-24,8404.520000,8528.020000,8238.000000,8439.000000,9367.905000,7441.135000,False,False,,HOLD,,,0.000000,0.000000,100000.000000,0.000000,100000.000000
24,2020-01-25,8438.990000,8451.260000,8254.900000,8340.580000,9379.480000,7498.500000,False,False,,HOLD,,,0.000000,0.000000,100000.000000,0.000000,100000.000000
25,2020-01-26,8340.010000,8618.130000,8293.660000,8615.000000,9266.120000,7413.900000,False,False,,HOLD,,,0.000000,0.000000,100000.000000,0.000000,100000.000000
26,2020-01-27,8614.390000,9000.000000,8535.000000,8907.570000,9377.880000,7850.900000,False,False,,HOLD,,,0.000000,0.000000,100000.000000,0.000000,100000.000000
27,2020-01-28,8907.570000,9400.000000,8862.400000,9374.210000,9671.060000,8144.080000,False,False,,HOLD,,,0.000000,0.000000,100000.000000,0.000000,100000.000000
28,2020-01-29,9375.340000,9449.240000,9216.000000,9301.530000,10239.340000,8511.340000,False,False,,HOLD,,,0.000000,0.000000,100000.000000,0.000000,100000.000000
29,2020-01-30,9301.570000,9578.000000,9204.440000,9513.210000,10190.190000,8412.950000,False,False,,HOLD,,,0.000000,0.000000,100000.000000,0.000000,100000.000000
30,2020-01-31,9511.520000,9530.220000,9210.010000,9352.890000,10320.520000,8702.520000,False,False,,HOLD,,,0.000000,0.000000,100000.000000,0.000000,100000.000000
31,2020-02-01,9351.710000,9464.530000,9281.000000,9384.610000,10160.710000,8542.710000,False,False,,HOLD,,,0.000000,0.000000,100000.000000,0.000000,100000.000000
32,2020-02-02,9384.410000,9477.030000,9120.000000,9331.510000,10145.465000,8623.355000,False,False,,HOLD,,,0.000000,0.000000,100000.000000,0.000000,100000.000000
33,2020-02-03,9331.590000,9618.790000,9234.000000,9292.240000,10067.820000,8595.360000,False,False,,HOLD,,,0.000000,0.000000,100000.000000,0.000000,100000.000000
34,2020-02-04,9291.350000,9350.000000,9093.010000,9197.020000,9981.745000,8600.955000,False,False,,HOLD,,,0.000000,0.000000,100000.000000,0.000000,100000.000000
35,2020-02-05,9197.020000,9744.450000,9177.220000,9612.040000,9887.415000,8506.625000,False,False,,HOLD,,,0.000000,0.000000,100000.000000,0.000000,100000.000000
36,2020-02-06,9612.030000,9862.570000,9526.350000,9772.000000,10365.255000,8858.805000,False,False,,HOLD,,,0.000000,0.000000,100000.000000,0.000000,100000.000000
37,2020-02-07,9772.000000,9885.000000,9730.000000,9813.730000,10584.285000,8959.715000,False,False,,HOLD,,,0.000000,0.000000,100000.000000,0.000000,100000.000000
38,2020-02-08,9813.870000,9940.000000,9667.110000,9895.050000,10637.370000,8990.370000,False,False,,HOLD,,,0.000000,0.000000,100000.000000,0.000000,100000.000000
39,2020-02-09,9895.040000,10166.000000,9880.750000,10151.750000,10746.040000,9044.040000,False,False,,HOLD,,,0.000000,0.000000,100000.000000,0.000000,100000.000000
40,2020-02-10,10151.720000,10188.000000,9756.000000,9851.830000,11115.720000,9187.720000,False,False,,HOLD,,,0.000000,0.000000,100000.000000,0.000000,100000.000000
41,2020-02-11,9851.740000,10323.590000,9700.000000,10223.080000,10826.740000,8876.740000,False,False,,HOLD,,,0.000000,0.000000,100000.000000,0.000000,100000.000000
42,2020-02-12,10223.080000,10450.000000,10223.080000,10326.460000,11265.875000,9180.285000,False,False,,HOLD,,,0.000000,0.000000,100000.000000,0.000000,100000.000000
43,2020-02-13,10325.330000,10500.000000,10080.000000,10229.630000,11431.330000,9219.330000,False,False,,HOLD,,,0.000000,0.000000,100000.000000,0.000000,100000.000000
44,2020-02-14,10227.780000,10381.560000,10111.370000,10344.360000,11350.330000,9105.230000,False,False,,HOLD,,,0.000000,0.000000,100000.000000,0.000000,100000.000000
45,2020-02-15,10344.360000,10375.000000,9801.000000,9904.720000,11447.530000,9241.190000,False,False,,HOLD,,,0.000000,0.000000,100000.000000,0.000000,100000.000000
46,2020-02-16,9904.460000,10050.000000,9638.120000,9917.270000,10886.960000,8921.960000,False,False,,HOLD,,,0.000000,0.000000,100000.000000,0.000000,100000.000000
47,2020-02-17,9910.700000,9964.160000,9452.670000,9706.000000,10729.500000,9091.900000,False,False,,HOLD,,,0.000000,0.000000,100000.000000,0.000000,100000.000000
48,2020-02-18,9706.000000,10250.000000,9576.010000,10164.710000,10409.495000,9002.505000,False,False,,HOLD,,,0.000000,0.000000,100000.000000,0.000000,100000.000000
49,2020-02-19,10164.780000,10250.000000,9350.000000,9593.790000,10868.275000,9461.285000,False,True,SHORT,HOLD,,,0.000000,0.000000,100000.000000,0.000000,100000.000000
50,2020-02-20,9594.650000,9699.000000,9400.000000,9596.420000,10298.145000,8891.155000,False,False,,SHORT_ENTRY,9594.650000,Short Entry,-10.318250,9594.650000,99901.000000,-18.263303,99882.736697
51,2020-02-21,9597.210000,9755.510000,9550.210000,9677.050000,10300.705000,8893.715000,False,False,,HOLD,,,-10.318250,9594.650000,99901.000000,-850.223823,99050.776177
52,2020-02-22,9677.050000,9709.170000,9560.020000,9650.860000,10380.545000,8973.555000,False,False,,HOLD,,,-10.318250,9594.650000,99901.000000,-579.988848,99321.011152
53,2020-02-23,9650.850000,9990.000000,9645.000000,9936.400000,10354.345000,8947.355000,False,False,,HOLD,,,-10.318250,9594.650000,99901.000000,-3526.262031,96374.737969
54,2020-02-24,9936.400000,9990.000000,9473.560000,9656.130000,10639.895000,9232.905000,False,False,,HOLD,,,-10.318250,9594.650000,99901.000000,-634.366027,99266.633973
55,2020-02-25,9655.520000,9675.000000,9250.000000,9315.840000,10316.910000,8994.130000,False,False,,HOLD,,,-10.318250,9594.650000,99901.000000,2876.831359,102777.831359
56,2020-02-26,9316.480000,9377.440000,8633.630000,8785.250000,9941.480000,8691.480000,False,True,,HOLD,,,-10.318250,9594.650000,99901.000000,8351.591772,108252.591772
57,2020-02-27,8786.000000,8971.770000,8531.000000,8823.210000,9719.185000,7852.815000,False,False,,HOLD,,,-10.318250,9594.650000,99901.000000,7959.910992,107860.910992
58,2020-02-28,8823.250000,8900.000000,8445.000000,8692.910000,9807.750000,7838.750000,False,False,,HOLD,,,-10.318250,9594.650000,99901.000000,9304.379003,109205.379003
59,2020-02-29,8690.800000,8790.000000,8523.550000,8523.610000,9718.300000,7663.300000,False,False,,HOLD,,,-10.318250,9594.650000,99901.000000,11051.258774,110952.258774
60,2020-03-01,8523.610000,8750.000000,8411.000000,8531.880000,9551.110000,7496.110000,False,False,,HOLD,,,-10.318250,9594.650000,99901.000000,10965.926845,110866.926845
61,2020-03-02,8530.300000,8965.750000,8498.000000,8915.240000,9574.800000,7485.800000,False,False,,HOLD,,,-10.318250,9594.650000,99901.000000,7010.322419,106911.322419
62,2020-03-03,8911.180000,8919.650000,8651.000000,8760.070000,9955.680000,7866.680000,False,False,,HOLD,,,-10.318250,9594.650000,99901.000000,8611.405314,108512.405314
63,2020-03-04,8760.070000,8848.290000,8660.000000,8750.870000,9804.570000,7715.570000,False,False,,HOLD,,,-10.318250,9594.650000,99901.000000,8706.333217,108607.333217
64,2020-03-05,8750.990000,9159.420000,8746.540000,9054.680000,9736.270000,7765.710000,False,False,,HOLD,,,-10.318250,9594.650000,99901.000000,5571.545601,105472.545601
65,2020-03-06,9054.640000,9170.000000,8985.500000,9131.880000,10036.640000,8072.640000,False,False,,HOLD,,,-10.318250,9594.650000,99901.000000,4774.976680,104675.976680
66,2020-03-07,9130.890000,9188.000000,8835.000000,8886.660000,10050.390000,8211.390000,False,False,,HOLD,,,-10.318250,9594.650000,99901.000000,7305.218012,107206.218012
67,2020-03-08,8885.250000,8886.760000,8000.000000,8033.310000,9804.750000,7965.750000,False,False,,HOLD,,,-10.318250,9594.650000,99901.000000,16110.296884,116011.296884
68,2020-03-09,8034.760000,8179.310000,7632.010000,7929.870000,9159.760000,6909.760000,False,False,,HOLD,,,-10.318250,9594.650000,99901.000000,17177.616693,117078.616693
69,2020-03-10,7929.870000,8149.000000,7728.010000,7894.560000,9238.865000,6620.875000,False,False,,HOLD,,,-10.318250,9594.650000,99901.000000,17541.954110,117442.954110
70,2020-03-11,7894.570000,7980.000000,7590.000000,7934.520000,9073.565000,6715.575000,False,False,,HOLD,,,-10.318250,9594.650000,99901.000000,17129.636829,117030.636829
71,2020-03-12,7934.580000,7966.170000,4410.000000,4800.000000,9134.580000,6734.580000,False,True,,HOLD,,,-10.318250,9594.650000,99901.000000,49472.398681,149373.398681
72,2020-03-13,4800.010000,5955.000000,3782.130000,5578.600000,7590.010000,2010.010000,False,False,,HOLD,,,-10.318250,9594.650000,99901.000000,41438.609016,141339.609016
73,2020-03-14,5576.050000,5640.520000,5055.130000,5172.060000,8679.985000,2472.115000,False,False,,HOLD,,,-10.318250,9594.650000,99901.000000,45633.390483,145534.390483
74,2020-03-15,5172.480000,5940.000000,5093.100000,5361.300000,8276.415000,2068.545000,False,False,,HOLD,,,-10.318250,9594.650000,99901.000000,43680.764801,143581.764801
75,2020-03-16,5360.330000,5365.420000,4442.120000,5028.970000,8306.765000,2413.895000,False,False,,HOLD,,,-10.318250,9594.650000,99901.000000,47109.828915,147010.828915
76,2020-03-17,5028.860000,5525.000000,4921.450000,5312.640000,7826.515000,2231.205000,False,False,,HOLD,,,-10.318250,9594.650000,99901.000000,44182.850860,144083.850860
77,2020-03-18,5312.640000,5436.170000,5009.370000,5393.040000,8015.575000,2609.705000,False,False,,HOLD,,,-10.318250,9594.650000,99901.000000,43353.263537,143254.263537
