trade_id,bar_index,date,action,execution_price,position_size,pnl,commission,net_pnl,equity_after,reason
1,50,2020-02-20,SHORT,9594.650000,10.318250,0.000000,99.000000,-99.000000,99901.000000,Short Entry
2,114,2020-04-24,CLOSE_SHORT,7483.960000,10.318250,21778.627673,77.221372,21701.406300,121602.406300,Reverse to Long
3,114,2020-04-24,LONG,7483.960000,16.085920,0.000000,120.386382,-120.386382,121482.019918,Long Entry
4,154,2020-06-03,CLOSE_LONG,9518.020000,16.085920,32719.726542,153.106109,32566.620434,154048.640352,Reverse to Short
5,154,2020-06-03,SHORT,9518.020000,16.023097,0.000000,152.508154,-152.508154,153896.132198,Short Entry
6,207,2020-07-26,CLOSE_SHORT,10081.717245,16.023097,-9032.175419,161.540329,-9193.715748,144702.416449,SL Short
7,208,2020-07-27,LONG,9931.540000,14.424288,0.000000,143.255392,-143.255392,144559.161057,Long Entry
8,246,2020-09-03,CLOSE_LONG,11388.540000,14.424288,21016.187475,164.271580,20851.915896,165411.076953,Reverse to Short
9,246,2020-09-03,SHORT,11388.540000,14.379101,0.000000,163.756966,-163.756966,165247.319987,Short Entry
10,294,2020-10-21,CLOSE_SHORT,12350.790875,14.379101,-13836.302457,177.593269,-14013.895726,151233.424261,SL Short
11,295,2020-10-22,LONG,12780.750000,11.714578,0.000000,149.721090,-149.721090,151083.703171,Long Entry
12,474,2021-04-19,CLOSE_LONG,56150.010000,11.714578,508052.569723,657.773660,507394.796063,658478.499234,Reverse to Short
13,474,2021-04-19,SHORT,56150.010000,11.609859,0.000000,651.893714,-651.893714,657826.605520,Short Entry
14,573,2021-07-27,CLOSE_SHORT,37241.330000,11.609859,219527.113826,432.366600,219094.747226,876921.352746,Reverse to Long
15,573,2021-07-27,LONG,37241.330000,23.311523,0.000000,868.152139,-868.152139,876053.200606,Long Entry
16,616,2021-09-08,CLOSE_LONG,46868.570000,23.311523,224425.631436,1092.577771,223333.053665,1099386.254272,Reverse to Short
17,616,2021-09-08,SHORT,46868.570000,23.222223,0.000000,1088.392392,-1088.392392,1098297.861880,Short Entry
18,640,2021-10-02,CLOSE_SHORT,48141.600000,23.222223,-29562.586749,1117.954978,-30680.541728,1067617.320152,Reverse to Long
19,640,2021-10-02,LONG,48141.600000,21.954840,0.000000,1056.941147,-1056.941147,1066560.379005,Long Entry
20,704,2021-12-05,CLOSE_LONG,49152.460000,21.954840,22193.270016,1079.134417,21114.135599,1087674.514604,Reverse to Short
21,704,2021-12-05,SHORT,49152.460000,21.907302,0.000000,1076.797769,-1076.797769,1086597.716835,Short Entry
22,790,2022-03-01,CLOSE_SHORT,43160.000000,21.907302,131278.629016,945.519140,130333.109876,1216930.826710,Reverse to Long
23,790,2022-03-01,LONG,43160.000000,27.913844,0.000000,1204.761518,-1204.761518,1215726.065192,Long Entry
24,838,2022-04-18,CLOSE_LONG,38835.702566,27.913844,-120707.765133,1084.053753,-121791.818886,1093934.246306,SL Long
25,856,2022-05-06,SHORT,36552.970000,29.628096,0.000000,1082.994904,-1082.994904,1092851.251402,Short Entry
26,930,2022-07-19,CLOSE_SHORT,22432.580000,29.628096,418360.270322,664.634634,417695.635688,1510546.887090,Reverse to Long
27,930,2022-07-19,LONG,22432.580000,66.663817,0.000000,1495.441418,-1495.441418,1509051.445672,Long Entry
28,962,2022-08-20,CLOSE_LONG,20834.390000,66.663817,-106541.446422,1388.899972,-107930.346394,1401121.099278,Reverse to Short
29,962,2022-08-20,SHORT,20834.390000,66.577898,0.000000,1387.109888,-1387.109888,1399733.989389,Short Entry
30,983,2022-09-10,CLOSE_SHORT,21361.620000,66.577898,-35101.865061,1422.211753,-36524.076814,1363209.912575,Reverse to Long
31,983,2022-09-10,LONG,21361.620000,63.177690,0.000000,1349.577813,-1349.577813,1361860.334762,Long Entry
32,987,2022-09-14,CLOSE_LONG,20173.620000,63.177690,-75055.096120,1274.522717,-76329.618837,1285530.715925,Reverse to Short
33,987,2022-09-14,SHORT,20173.620000,63.086120,0.000000,1272.675409,-1272.675409,1284258.040516,Short Entry
34,1078,2022-12-14,CLOSE_SHORT,17775.820000,63.086120,151267.898133,1121.407511,150146.490623,1434404.531139,Reverse to Long
35,1078,2022-12-14,LONG,17775.820000,79.887200,0.000000,1420.060486,-1420.060486,1432984.470653,Long Entry
36,1083,2022-12-19,CLOSE_LONG,16486.123511,79.887200,-103030.241250,1317.030245,-104347.271495,1328637.199158,SL Long
37,1108,2023-01-13,LONG,18846.620000,69.792399,0.000000,1315.350827,-1315.350827,1327321.848331,Long Entry
38,1252,2023-06-06,CLOSE_LONG,25728.200000,69.792399,480281.978690,1795.632806,478486.345884,1805808.194214,Reverse to Short
39,1252,2023-06-06,SHORT,25728.200000,69.486016,0.000000,1787.750112,-1787.750112,1804020.444102,Short Entry
40,1253,2023-06-07,CLOSE_SHORT,27230.070000,69.486016,-104358.962583,1892.109075,-106251.071657,1697769.372445,Reverse to Long
41,1253,2023-06-07,LONG,27230.070000,61.725573,0.000000,1680.791679,-1680.791679,1696088.580766,Long Entry
42,1260,2023-06-14,CLOSE_LONG,25010.374174,61.725573,-137011.997154,1543.779682,-138555.776835,1557532.803931,SL Long
43,1267,2023-06-21,LONG,28308.000000,54.470732,0.000000,1541.957476,-1541.957476,1555990.846455,Long Entry
44,1291,2023-07-15,CLOSE_LONG,30312.000000,54.470732,109159.346534,1651.116822,107508.229712,1663499.076166,Reverse to Short
45,1291,2023-07-15,SHORT,30312.000000,54.330433,0.000000,1646.864085,-1646.864085,1661852.212081,Short Entry
46,1316,2023-08-09,CLOSE_SHORT,29770.410000,54.330433,29424.819214,1617.439266,27807.379948,1689659.592029,Reverse to Long
47,1316,2023-08-09,LONG,29770.410000,56.188779,0.000000,1672.762996,-1672.762996,1687986.829033,Long Entry
48,1324,2023-08-17,CLOSE_LONG,27869.831399,56.188779,-106791.191474,1565.971805,-108357.163278,1579629.665754,SL Long
49,1325,2023-08-18,SHORT,26623.410000,58.739033,0.000000,1563.833369,-1563.833369,1578065.832385,Short Entry
50,1370,2023-10-02,CLOSE_SHORT,28327.873411,58.739033,-100118.533231,1663.951902,-101782.485133,1476283.347252,SL Short
51,1385,2023-10-17,LONG,28500.770000,51.280036,0.000000,1461.520514,-1461.520514,1474821.826739,Long Entry
52,1416,2023-11-17,CLOSE_LONG,36163.510000,51.280036,392945.583637,1854.466097,391091.117540,1865912.944278,Reverse to Short
53,1416,2023-11-17,SHORT,36163.510000,51.080601,0.000000,1847.253815,-1847.253815,1864065.690464,Short Entry
54,1422,2023-11-23,CLOSE_SHORT,37408.350000,51.080601,-63587.174997,1910.840990,-65498.015986,1798567.674477,Reverse to Long
55,1422,2023-11-23,LONG,37408.350000,47.598517,0.000000,1780.581998,-1780.581998,1796787.092479,Long Entry
56,1464,2024-01-04,CLOSE_LONG,42845.230000,47.598517,258787.427188,2039.369425,256748.057763,2053535.150242,Reverse to Short
57,1464,2024-01-04,SHORT,42845.230000,47.449851,0.000000,2032.999799,-2032.999799,2051502.150443,Short Entry
