date,action,price,size,commission,equity,comment,pnl,net_pnl
2015-03-18,ENTRY_SHORT,256.29901123046875,386.2675845868847,99.0,99901.0,Short,,
2015-06-16,CLOSE_Short,250.8950042724609,386.2675845868847,96.91260728523959,101891.48010747517,Reverse to Long,2087.392714760407,1990.4801074751676
2015-06-16,ENTRY_LONG,250.8950042724609,402.05091208933464,100.87256530640042,101790.60754216877,Long,,
2015-08-08,CLOSE_Long,260.9970092773437,402.05091208933464,104.93408563254457,105747.19378268038,Reverse to Short,4061.520326144147,3956.586240511602
2015-08-08,ENTRY_SHORT,260.9970092773437,401.1146416379314,104.68972184485358,105642.50406083552,Short,,
2015-09-15,CLOSE_Short,230.3040008544922,401.1146416379314,92.3783067705315,117861.54082838708,Reverse to Long,12311.415074322093,12219.03676755156
2015-09-15,ENTRY_LONG,230.3040008544922,506.6474094552285,116.6829254201032,117744.85790296698,Long,,
2015-12-26,CLOSE_Long,417.2739868164063,506.6474094552285,211.41078445358744,212261.30615199762,Reverse to Short,94727.85903348423,94516.44824903064
2015-12-26,ENTRY_SHORT,417.2739868164063,503.5988336913396,210.13869309047763,212051.16745890715,Short,,
2016-01-07,CLOSE_SHORT,453.207874016675,503.5988336913396,228.23495677452914,193726.66881808115,Stop Loss: SL Short,-18096.263684051482,-18324.498640826012
2016-01-15,ENTRY_SHORT,364.33099365234375,526.4152802572484,191.7894021299003,193534.87941595123,Short,,
2016-01-20,CLOSE_SHORT,410.4613808084156,526.4152802572484,216.07314281303925,169035.06558999926,Stop Loss: SL Short,-24283.740683138923,-24499.813825951962
2016-03-27,ENTRY_LONG,426.7650146484375,392.12378988459324,167.34471493409927,168867.72087506516,Long,,
2016-03-29,CLOSE_Long,416.5159912109375,392.12378988459324,163.32582902117073,164685.50913311547,Reverse to Short,-4018.8859129285215,-4182.211741949693
2016-03-29,ENTRY_SHORT,416.5159912109375,391.43432060743174,163.03865404178433,164522.47047907367,Short,,
2016-04-15,CLOSE_SHORT,427.8329581984242,391.43432060743174,167.46850332586794,159925.1526916642,Stop Loss: SL Short,-4429.849284083588,-4597.317787409456
2016-05-19,ENTRY_SHORT,438.7149963378906,360.88554639424206,158.32590116474756,159766.82679049944,Short,,
2016-05-26,CLOSE_SHORT,452.89048911394843,360.88554639424206,163.44163162064282,154487.65470298353,Stop Loss: SL Short,-5115.730455895254,-5279.172087515896
2016-05-27,ENTRY_LONG,473.4639892578125,323.029378423694,152.9427781559537,154334.71192482757,Long,,
2016-07-31,CLOSE_Long,624.6810302734375,323.029378423694,201.79032492230132,202980.46836625284,Reverse to Short,48847.54676634759,48645.756441425285
2016-07-31,ENTRY_SHORT,624.6810302734375,321.68523445418134,200.9506636825903,202779.51770257024,Short,,
2016-09-03,CLOSE_Short,598.2119750976562,321.68523445418134,192.43595946258844,211101.78596310952,Reverse to Long,8514.704220001853,8322.268260539266
2016-09-03,ENTRY_LONG,598.2119750976562,349.3590513118052,208.99076810347844,210892.79519500604,Long,,
2016-11-03,CLOSE_Long,688.7000122070312,349.3590513118052,240.6035829030771,242265.00641170164,Reverse to Short,31612.814799598676,31372.2112166956
2016-11-03,ENTRY_SHORT,688.7000122070312,348.2537419724703,239.84235634758463,242025.16405535405,Short,,
2016-11-09,CLOSE_SHORT,731.0367620909509,348.2537419724703,254.5862879176122,227026.64619740887,Stop Loss: SL Short,-14743.931570027567,-14998.51785794518
2016-11-16,ENTRY_LONG,744.197998046875,302.01153500184233,224.7563797354348,226801.88981767345,Long,,
2017-01-05,CLOSE_Long,1013.3800048828124,302.01153500184233,306.05245081483264,307791.9084462565,Reverse to Short,81296.07107939787,80990.01862858303
2017-01-05,ENTRY_SHORT,1013.3800048828124,300.6907457158987,304.7139893617939,307487.1944568947,Short,,
2017-02-21,CLOSE_SHORT,1089.5648584493106,300.6907457158987,327.62206979296076,284251.49195593485,Stop Loss: SL Short,-22908.080431166883,-23235.702500959844
2017-03-18,ENTRY_SHORT,973.8179931640624,288.97492037710333,281.4089770363755,283970.0829788985,Short,,
2017-04-03,CLOSE_SHORT,1110.502709287843,288.97492037710333,320.9074319950119,244150.72058826702,Stop Loss: SL Short,-39498.454958636445,-39819.36239063145
2017-07-07,ENTRY_LONG,2518.659912109375,95.96738814171745,241.70921338238438,243909.01137488463,Long,,
2017-07-15,CLOSE_LONG,2134.4508452429886,95.96738814171745,204.8376727348508,206832.63305461622,Stop Loss: SL Long,-36871.54064753358,-37076.37832026843
2017-07-20,ENTRY_LONG,2817.60009765625,72.67330338836874,204.76430672407005,206627.86874789215,Long,,
2017-09-14,CLOSE_Long,3154.949951171875,72.67330338836874,229.2806349766328,230914.91636547828,Reverse to Short,24516.328252562766,24287.047617586133
2017-09-14,ENTRY_SHORT,3154.949951171875,72.45939578753385,228.60576720182348,230686.31059827644,Short,,
2017-09-18,CLOSE_SHORT,4019.4470958489137,72.45939578753385,291.24670796517,167754.1231269648,Stop Loss: SL Short,-62640.94076334646,-62932.18747131163
2017-12-06,ENTRY_LONG,14291.5,11.62065436767975,166.07658189569517,167588.0465450691,Long,,
2018-01-16,CLOSE_LONG,10244.131763653057,11.62065436767975,119.04351452238176,120435.93565723333,Stop Loss: SL Long,-47033.067373313395,-47152.11088783578
2018-05-11,ENTRY_SHORT,8441.490234375,14.12447008647032,119.231576300661,120316.70408093267,Short,,
2018-07-17,CLOSE_Short,7321.0400390625,14.12447008647032,103.40581103358979,136039.06353697032,Reverse to Long,15825.765267071232,15722.359456037642
2018-07-17,ENTRY_LONG,7321.0400390625,18.39611205279612,134.67867290160063,135904.38486406874,Long,,
2018-08-08,CLOSE_LONG,6530.055494734518,18.39611205279612,120.1276325921132,121233.2169219892,Stop Loss: SL Long,-14551.040309487435,-14671.167942079548
2018-09-05,ENTRY_SHORT,6792.830078125,17.668760056176502,120.02088475276932,121113.19603723643,Short,,
2018-10-15,CLOSE_Short,6596.5400390625,17.668760056176502,116.55268315115649,124464.84495569809,Reverse to Long,3468.2016016128255,3351.648918461669
2018-10-15,ENTRY_LONG,6596.5400390625,18.67951922924327,123.22019650614112,124341.62475919195,Long,,
2018-10-29,CLOSE_LONG,6315.782229064883,18.67951922924327,117.9757755955304,118979.2280729857,Stop Loss: SL Long,-5244.420910610718,-5362.396686206249
