date,action,price,size,commission,equity,comment,pnl,net_pnl
2023-10-01,ENTRY_LONG,27981.1,3.5381025049050967,99.0,99901.0,Long,,
2023-10-11,CLOSE_LONG,26578.255830838152,3.5381025049050967,94.03659353109697,94843.55693756587,Stop Loss: SL Long,-4963.406468903037,-5057.443062434135
2023-10-16,ENTRY_LONG,28516.8,3.2926247464017773,93.8951213681902,94749.66181619768,Long,,
2023-12-11,CLOSE_Long,41236.8,3.2926247464017773,135.77730814242082,136496.07128228588,Reverse to Short,41882.18677423062,41746.4094660882
2023-12-11,ENTRY_SHORT,41236.8,3.276954336162433,135.13111056946303,136360.94017171641,Short,,
2023-12-22,CLOSE_SHORT,44224.631664835826,3.276954336162433,144.9220984992702,126425.03014340997,Stop Loss: SL Short,-9790.987929807172,-9935.910028306442
2024-01-01,ENTRY_LONG,44180.8,2.832922442372611,125.16077984197587,126299.869363568,Long,,
2024-01-03,CLOSE_LONG,40600.264110011725,2.832922442372611,115.01739936350748,116041.47148573611,Stop Loss: SL Long,-10143.380478468382,-10258.397877831889
2024-01-08,ENTRY_LONG,46989.4,2.444829190644672,114.88105677087876,115926.59042896524,Long,,
2024-01-12,CLOSE_LONG,42255.20419765012,2.444829190644672,103.3067566790663,104248.98358047371,Stop Loss: SL Long,-11574.300091812464,-11677.60684849153
2024-02-09,ENTRY_LONG,47127.0,2.189965279874997,103.20649374466898,104145.77708672904,Long,,
2024-04-12,CLOSE_Long,67205.2,2.189965279874997,147.17705462705513,147969.16091448814,Reverse to Short,43970.560882386155,43823.3838277591
2024-04-12,ENTRY_SHORT,67205.2,2.1797341471395555,146.48946930534325,147822.6714451828,Short,,
2024-05-15,CLOSE_Short,66233.0,2.1797341471395555,144.37033176749418,149797.43865126435,Reverse to Long,2119.1375378490693,1974.767206081575
2024-05-15,ENTRY_LONG,66233.0,2.2390570299511077,148.29946426475172,149649.13918699962,Long,,
2024-06-11,CLOSE_Long,67348.6,2.2390570299511077,150.7973562873652,151996.2338533257,Reverse to Short,2497.8920226134687,2347.0946663261034
2024-06-11,ENTRY_SHORT,67348.6,2.2342895251689336,150.47627151479247,151845.75758181093,Short,,
2024-06-12,CLOSE_Short,68233.7,2.2342895251689336,152.45384117351946,149715.7340819104,Reverse to Long,-1977.5696587270036,-2130.023499900523
2024-06-12,ENTRY_LONG,68233.7,2.1722195446105266,148.21857674109128,149567.51550516931,Long,,
2024-06-18,CLOSE_LONG,64250.32557512582,2.1722195446105266,139.56581296187787,140775.18591299403,Stop Loss: SL Long,-8652.763779213406,-8792.329592175285
2024-06-24,ENTRY_SHORT,60297.0,2.3113493880933396,139.3674340538641,140635.81847894017,Short,,
2024-07-16,CLOSE_SHORT,65176.67890638469,2.3113493880933396,150.6460769082283,129206.52954766771,Stop Loss: SL Short,-11278.642854364225,-11429.288931272453
2024-08-05,ENTRY_SHORT,54006.5,2.3685012776645595,127.91446425219102,129078.61508341553,Short,,
2024-08-08,CLOSE_SHORT,60938.4105151182,2.3685012776645595,144.3327031639049,112516.04346853777,Stop Loss: SL Short,-16418.238911713855,-16562.57161487776
2024-10-14,ENTRY_LONG,66025.5,1.6870888222558311,111.39088303385239,112404.65258550392,Long,,
2024-12-09,CLOSE_Long,97399.9,1.6870888222558311,164.32228257883574,165171.72984790843,Reverse to Short,52931.39954498334,52767.077262404506
2024-12-09,ENTRY_SHORT,97399.9,1.6788519551809535,163.52001254942934,165008.209835359,Short,,
2024-12-16,CLOSE_SHORT,105240.56570703242,1.6788519551809535,176.683329501601,151668.20955368577,Stop Loss: SL Short,-13163.316952171646,-13340.000281673247
2025-01-13,ENTRY_SHORT,94487.1,1.5891219802295649,150.15152745814893,151518.0580262276,Short,,
2025-01-17,CLOSE_SHORT,102098.09590595003,1.5891219802295649,162.24632834373136,139261.01081230145,Stop Loss: SL Short,-12094.800885582416,-12257.047213926147
2025-01-20,ENTRY_LONG,102162.8,1.349497084106724,137.86840070417844,139123.14241159728,Long,,
2025-02-03,CLOSE_LONG,92932.12205195341,1.349497084106724,125.4116277289613,126540.9578086512,Stop Loss: SL Long,-12456.772975217114,-12582.184602946076
2025-02-26,ENTRY_SHORT,84089.8,1.4897829252842163,125.27554823056471,126415.68226042064,Short,,
2025-03-02,CLOSE_SHORT,92868.13258166809,1.4897829252842163,138.35335822319993,113199.5189095622,Stop Loss: SL Short,-13077.809992635232,-13216.163350858431
2025-03-03,ENTRY_SHORT,86144.7,1.3009218642640414,112.06752372046657,113087.45138584173,Short,,
2025-04-09,CLOSE_Short,82556.3,1.3009218642640414,107.39929570274148,117648.28010786408,Reverse to Long,4668.228017725079,4560.828722022337
2025-04-09,ENTRY_LONG,82556.3,1.4108165858545674,116.47179730678542,117531.80831055729,Long,,
2025-08-14,CLOSE_Long,118383.1,1.4108165858545674,167.01684096487983,167909.83512768682,Reverse to Short,50545.043658094415,50378.02681712953
2025-08-14,ENTRY_SHORT,118383.1,1.4041762445518824,166.23073677640997,167743.60439091042,Short,,
2025-08-19,CLOSE_Final,112830.3,1.4041762445518824,158.43362692566225,175382.28061473244,End of Date Range,7797.109850747696,7638.676223822034
