bar_index,date,open,high,low,close,upper_boundary,lower_boundary,go_long_signal,go_short_signal,pending_signal,action_executed,execution_price,reason,position_size,position_avg_price,equity,unrealized_pnl,total_equity
0,2019-01-01,3701.230000,3810.160000,3642.000000,3797.140000,,,False,False,,HOLD,,,0.000000,0.000000,100000.000000,0.000000,100000.000000
1,2019-01-02,3796.450000,3882.140000,3750.450000,3858.560000,,,False,False,,HOLD,,,0.000000,0.000000,100000.000000,0.000000,100000.000000
2,2019-01-03,3857.570000,3862.740000,3730.000000,3766.780000,,,False,False,,HOLD,,,0.000000,0.000000,100000.000000,0.000000,100000.000000
3,2019-01-04,3767.200000,3823.640000,3703.570000,3792.010000,,,False,False,,HOLD,,,0.000000,0.000000,100000.000000,0.000000,100000.000000
4,2019-01-05,3790.090000,3840.990000,3751.000000,3770.960000,,,False,False,,HOLD,,,0.000000,0.000000,100000.000000,0.000000,100000.000000
5,2019-01-06,3771.120000,4027.710000,3740.000000,3987.600000,,,False,False,,HOLD,,,0.000000,0.000000,100000.000000,0.000000,100000.000000
6,2019-01-07,3987.620000,4017.900000,3921.530000,3975.450000,,,False,False,,HOLD,,,0.000000,0.000000,100000.000000,0.000000,100000.000000
7,2019-01-08,3976.760000,4069.800000,3903.000000,3955.130000,,,False,False,,HOLD,,,0.000000,0.000000,100000.000000,0.000000,100000.000000
8,2019-01-09,3955.450000,4006.810000,3930.040000,3966.650000,,,False,False,,HOLD,,,0.000000,0.000000,100000.000000,0.000000,100000.000000
9,2019-01-10,3966.060000,3996.010000,3540.000000,3585.880000,,,False,False,,HOLD,,,0.000000,0.000000,100000.000000,0.000000,100000.000000
10,2019-01-11,3585.880000,3658.000000,3465.000000,3601.310000,,,False,False,,HOLD,,,0.000000,0.000000,100000.000000,0.000000,100000.000000
11,2019-01-12,3601.310000,3618.190000,3530.000000,3583.130000,,,False,False,,HOLD,,,0.000000,0.000000,100000.000000,0.000000,100000.000000
