bar_index,date,open,high,low,close,upper_boundary,lower_boundary,go_long_signal,go_short_signal,pending_signal,action_executed,execution_price,reason,position_size,position_avg_price,equity,unrealized_pnl,total_equity,year
1470,2019-01-10,3966.06,3996.01,3540.0,3585.88,4297.56,3634.56,False,True,,HOLD,,,-0.085429,5917.2,510.10074,199.162218,709.262958,2019
1499,2019-02-08,3398.4,3733.58,3373.1,3659.04,3583.44,3213.36,True,False,REVERSE_TO_LONG,HOLD,,,-0.085429,5917.2,510.10074,192.912236,703.012976,2019
1509,2019-02-18,3667.62,3925.0,3655.0,3898.6,3859.45,3475.79,True,False,,HOLD,,,0.190032,3660.27,701.899636,45.29038,747.190016,2019
1515,2019-02-24,4118.0,4198.0,3712.66,3743.56,4512.46,3723.54,False,True,REVERSE_TO_SHORT,HOLD,,,0.190032,3660.27,701.899636,15.827784,717.72742,2019
1552,2019-04-02,4144.54,4897.99,4140.54,4857.29,4318.675,3970.405,True,False,LONG,HOLD,,,0.0,0.0,663.959044,0.0,663.959044,2019
1583,2019-05-03,5494.81,5844.0,5477.57,5772.69,5819.81,5169.81,True,False,,HOLD,,,0.135329,4857.19,663.301725,123.893848,787.195573,2019
1591,2019-05-11,6375.16,7343.99,6372.85,7076.22,7058.62,5691.7,True,False,,HOLD,,,0.135329,4857.19,663.301725,300.299471,963.601196,2019
1677,2019-08-05,10929.99,11937.52,10927.8,11828.8,11934.485,9925.495,True,False,,HOLD,,,0.135329,4857.19,663.301725,943.462141,1606.763866,2019
1727,2019-09-24,9702.2,9794.99,7800.0,8493.14,10347.25,9057.15,False,True,REVERSE_TO_SHORT,HOLD,,,0.135329,4857.19,663.301725,492.050068,1155.351793,2019
1756,2019-10-23,8020.06,8047.59,7300.0,7466.62,8528.815,7511.305,False,True,,HOLD,,,-0.134539,8497.55,1153.655377,138.700141,1292.355518,2019
1758,2019-10-25,7412.41,8799.0,7361.0,8655.02,8152.165,6672.655,True,False,REVERSE_TO_LONG,HOLD,,,-0.134539,8497.55,1153.655377,-21.185833,1132.469544,2019
1759,2019-10-26,8655.88,10370.0,8470.38,9230.0,9405.38,7906.38,True,False,,LONG_ENTRY,8655.88,Reverse to Long,0.129378,8655.88,1130.069411,74.278295,1204.347706,2019
1812,2019-12-18,6623.84,7440.0,6435.0,7277.83,7268.84,5978.84,True,False,LONG,HOLD,,,0.0,0.0,1010.804423,0.0,1010.804423,2019
1875,2020-02-19,10164.78,10250.0,9350.0,9593.79,10868.275,9461.285,False,True,REVERSE_TO_SHORT,HOLD,,,0.137499,7277.83,1009.803727,318.442831,1328.246557,2020
1882,2020-02-26,9316.48,9377.44,8633.63,8785.25,9941.48,8691.48,False,True,,HOLD,,,-0.136928,9594.65,1325.731774,110.829427,1436.561201,2020
1897,2020-03-12,7934.58,7966.17,4410.0,4800.0,9134.58,6734.58,False,True,,HOLD,,,-0.136928,9594.65,1325.731774,656.521265,1982.253039,2020
1939,2020-04-23,7125.12,7738.0,7020.0,7482.39,7620.83,6629.41,True,False,REVERSE_TO_LONG,HOLD,,,-0.136928,9594.65,1325.731774,289.227286,1614.95906,2020
1945,2020-04-29,7738.58,8952.89,7710.05,8778.57,8400.455,7076.705,True,False,,HOLD,,,0.213467,7483.96,1612.121738,276.357142,1888.47888,2020
1978,2020-06-01,9448.27,10380.0,9421.67,10200.77,10158.88,8737.66,True,False,,HOLD,,,0.213467,7483.96,1612.121738,579.950601,2192.072339,2020
1979,2020-06-02,10202.71,10228.99,9266.0,9518.04,11071.35,9334.07,False,True,REVERSE_TO_SHORT,HOLD,,,0.213467,7483.96,1612.121738,434.209944,2046.331682,2020
2033,2020-07-26,9700.42,10111.0,9650.0,9931.54,10043.245,9357.595,True,False,LONG,STOP_LOSS,10081.717346,Stop loss triggered,0.0,0.0,1920.266956,0.0,1920.266956,2020
2034,2020-07-27,9931.54,11394.86,9917.21,11029.96,10463.415,9399.665,True,False,,LONG_ENTRY,9931.54,Long Entry,0.191417,9931.54,1918.365891,210.256117,2128.622008,2020
2071,2020-09-02,11921.97,11954.57,11160.1,11388.54,12597.15,11246.79,False,True,REVERSE_TO_SHORT,HOLD,,,0.191417,9931.54,1918.365891,278.894377,2197.260269,2020
2072,2020-09-03,11388.54,11462.6,9960.8,10140.85,12063.72,10713.36,False,True,,SHORT_ENTRY,11388.54,Reverse to Short,-0.190817,11388.54,2192.90718,238.080733,2430.987914,2020
