trade_id,bar_index,date,action,execution_price,position_size,pnl,commission,net_pnl,equity_after,reason
1,39,2019-02-09,LONG,3660.270000,27.047185,0.000000,99.000000,-99.000000,99901.000000,Long Entry
2,55,2019-02-25,CLOSE_LONG,3743.560000,27.047185,2252.760042,101.252760,2151.507282,102052.507282,Reverse to Short
3,55,2019-02-25,SHORT,3743.560000,26.988210,0.000000,101.031982,-101.031982,101951.475300,Short Entry
4,74,2019-03-16,CLOSE_SHORT,4014.670329,26.988210,-7316.782396,108.348765,-7425.131161,94526.344139,SL Short
5,92,2019-04-03,LONG,4857.190000,19.266506,0.000000,93.581081,-93.581081,94432.763058,Long Entry
6,267,2019-09-25,CLOSE_LONG,8497.550000,19.266506,70137.018097,163.718099,69973.299998,164406.063056,Reverse to Short
7,267,2019-09-25,SHORT,8497.550000,19.153992,0.000000,162.762002,-162.762002,164243.301054,Short Entry
8,298,2019-10-26,CLOSE_SHORT,8655.880000,19.153992,-3032.651511,165.794654,-3198.446165,161044.854889,Reverse to Long
9,298,2019-10-26,LONG,8655.880000,18.419202,0.000000,159.434406,-159.434406,160885.420483,Long Entry
10,324,2019-11-21,CLOSE_LONG,7741.785674,18.419202,-16836.888478,142.597518,-16979.485995,143905.934487,SL Long
11,352,2019-12-19,LONG,7277.830000,19.575461,0.000000,142.466875,-142.466875,143763.467612,Long Entry
12,415,2020-02-20,CLOSE_LONG,9594.650000,19.575461,45352.818858,187.819694,45164.999164,188928.466776,Reverse to Short
13,415,2020-02-20,SHORT,9594.650000,19.494112,0.000000,187.039182,-187.039182,188741.427594,Short Entry
14,479,2020-04-24,CLOSE_SHORT,7483.960000,19.494112,41146.027347,145.893155,41000.134192,229741.561786,Reverse to Long
15,479,2020-04-24,LONG,7483.960000,30.390882,0.000000,227.444146,-227.444146,229514.117640,Long Entry
16,519,2020-06-03,CLOSE_LONG,9518.020000,30.390882,61816.877690,289.261024,61527.616666,291041.734306,Reverse to Short
17,519,2020-06-03,SHORT,9518.020000,30.272191,0.000000,288.131317,-288.131317,290753.602989,Short Entry
18,572,2020-07-26,CLOSE_SHORT,10081.717346,30.272191,-17064.353567,305.195671,-17369.549237,273384.053751,SL Short
19,573,2020-07-27,LONG,9931.540000,27.251586,0.000000,270.650213,-270.650213,273113.403538,Long Entry
20,611,2020-09-03,CLOSE_LONG,11388.540000,27.251586,39705.560331,310.355774,39395.204558,312508.608096,Reverse to Short
21,611,2020-09-03,SHORT,11388.540000,27.166215,0.000000,309.383522,-309.383522,312199.224574,Short Entry
22,659,2020-10-21,CLOSE_SHORT,12350.790875,27.166215,-26140.713805,335.524236,-26476.238041,285722.986533,SL Short
23,660,2020-10-22,LONG,12780.750000,22.132172,0.000000,282.865757,-282.865757,285440.120777,Long Entry
24,839,2021-04-19,CLOSE_LONG,56150.010000,22.132172,959855.919726,1242.721676,958613.198049,1244053.318826,Reverse to Short
25,839,2021-04-19,SHORT,56150.010000,21.934329,0.000000,1231.612786,-1231.612786,1242821.706040,Short Entry
26,938,2021-07-27,CLOSE_SHORT,37241.330000,21.934329,414749.205700,816.863580,413932.342120,1656754.048160,Reverse to Long
